filename,readid,runid,exit_status,barcode,taxID,name,score,lineage
324212_1777,aa9a1b23-f738-4672-98b5-726721f67810,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,590,Salmonella,1849,1:131567:2:1224:1236:91347:543:590
324212_1777,f1315a73-80aa-48a9-a8f0-ec3fa0a7713b,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,287,Pseudomonas aeruginosa,1611,1:131567:2:1224:1236:72274:135621:286:136841:287
324212_1777,ecaeb343-1046-48eb-b88a-4cd8e6c4c627,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,03467502-54fc-4171-8a75-75baded1c7f9,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,287,Pseudomonas aeruginosa,3872,1:131567:2:1224:1236:72274:135621:286:136841:287
324212_1777,f3138215-c706-4603-946e-e6f7f98012c5,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,5727,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,b92a5f24-5084-4715-8927-4589d9be6198,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,1c98835f-1b32-4758-8ebb-b979dd5dc361,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,3202,1:131567:2:1224:1236:91347:543:561:562
324212_1777,ae719b4c-2243-498c-8527-faf00c011a3e,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,144,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,7d50700f-d29a-4ea7-875d-61f6c6b433f6,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,59201,Salmonella enterica subsp. enterica,2607,1:131567:2:1224:1236:91347:543:590:28901:59201
324212_1777,0a1a865c-1709-4071-8bbd-9f81ad11af2f,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,1766,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,d873e26e-02ad-4da4-b15f-953b5bab2a00,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,16246,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,35287f0b-ac08-41e1-8210-3267bbbac11a,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,320497,Neoasaia chiangmaiensis,121,1:131567:2:1224:28211:204441:433:320496:320497
324212_1777,69aeeaea-302b-47ee-986e-3b6ddf834c55,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,545,1:131567:2:1224:1236:91347:543:561:562
324212_1777,d737cef5-2ddc-4702-9745-a195efefa5ff,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1454647,Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1810,2601,1:131567:2:1224:1236:91347:543:590:28901:59201:90371:1454647
324212_1777,df95b134-6407-4f87-9b07-aa4f2ebd9748,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Unclassified,barcode02,0,-,0,-
324212_1777,b4062338-27b7-4c90-94cb-dfe5cb96cd9c,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,8798,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,270f877a-0f45-4c83-b251-ef6f4c317bd6,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,12546,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,e7f886d8-bcf3-42ec-9eb0-8eb085db7d20,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,938142,Salmonella enterica subsp. enterica serovar Choleraesuis str. ATCC 10708,3962,1:131567:2:1224:1236:91347:543:590:28901:59201:119912:938142
324212_1777,7142c7e9-a3b0-403f-ab0f-c085a94772c2,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,287,Pseudomonas aeruginosa,2971,1:131567:2:1224:1236:72274:135621:286:136841:287
324212_1777,a3632aac-7882-4865-8af7-9b423ed33b4e,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,286,Pseudomonas,5305,1:131567:2:1224:1236:72274:135621:286
324212_1777,e2145acd-2630-44b8-a6e0-174cddda4530,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,1058,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,8d1aff48-e00d-4019-b2e8-4a94b2d4c764,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1613,Limosilactobacillus fermentum,6737,1:131567:2:1783272:1239:91061:186826:33958:2742598:1613
324212_1777,838e3e86-2662-46f5-8b97-baab1e8103dc,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,1184,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,33a383f2-b364-4803-bb93-de07e867e69f,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1386,Bacillus,6911,1:131567:2:1783272:1239:91061:1385:186817:1386
324212_1777,ea234ea2-bfdd-4054-a787-aa912aa3cda5,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1280,Staphylococcus aureus,2500,1:131567:2:1783272:1239:91061:1385:90964:1279:1280
324212_1777,e814e2f1-965b-4c9d-b50d-bdde906841fe,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,196,1:131567:2:1224:1236:91347:543:561:562
324212_1777,2cf77f29-5e43-4d75-9594-bc76392483f4,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,2401,1:131567:2:1224:1236:91347:543:561:562
324212_1777,28497655-659f-4f2c-8a46-2e0877369589,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1613,Limosilactobacillus fermentum,4808,1:131567:2:1783272:1239:91061:186826:33958:2742598:1613
324212_1777,839eed6e-3969-48df-be9a-cbc5ebbb8651,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,590,Salmonella,324,1:131567:2:1224:1236:91347:543:590
324212_1777,e19b4bbc-eb10-461c-b301-f757681f65af,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,562,Escherichia coli,1424,1:131567:2:1224:1236:91347:543:561:562
324212_1777,c4980472-aa69-4525-8515-82df2fd10393,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,286,Pseudomonas,1346,1:131567:2:1224:1236:72274:135621:286
324212_1777,fcb1bf9c-72c4-4bb0-b6f8-a98f7fe985a0,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,709,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
324212_1777,e4db8f7b-0ba6-43f7-816a-0b054fd959a9,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1613,Limosilactobacillus fermentum,2710,1:131567:2:1783272:1239:91061:186826:33958:2742598:1613
324212_1777,91dd54e0-8ddd-4970-b01c-15171b60f068,f9b53105df0f6e165aa09f824bd26cbcb4dfa93a,Classified,barcode02,1351,Enterococcus faecalis,8628,1:131567:2:1783272:1239:91061:186826:81852:1350:1351
